#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
1,ZONA LESTE,Leste,Sagrada Família,34 395,"2,291",
2,ZONA SUL,Oeste,Buritis,29 374,"3,823",
3,ZONA OESTE,Noroeste,Padre Eustáquio,28 773,"2,969",
4,ZONA OESTE,Barreiro,Lindéia,25 231,"2,012",
5,ZONA NORTE,Pampulha e Venda Nova,Santa Mônica,23 883,"2,178",
6,ZONA NORTE,Pampulha e Venda Nova,Céu Azul,23 817,"2,748",
7,ZONA NORTE,Nordeste,Santa Cruz (ZN),15 803,"1,234",
7,ZONA LESTE,Nordeste,Santa Cruz (ZL),6 503,"0,508",
8,ZONA SUL,Centro-Sul,Santo Antônio,21 642,"1,306",
9,ZONA LESTE,Leste,Alto Vera Cruz,21 459,"0,888",
10,ZONA NORTE,Venda Nova,Jardim dos Comerciários,21 238,"2,016",
11,ZONA NORTE,Venda Nova,Piratininga,21 149,"1,694",
12,ZONA NORTE,Venda Nova,Mantiqueira,20 282,"2,923",
13,ZONA SUL,Centro-Sul,Serra,20 277,"1,536",
14,ZONA SUL,Centro-Sul,Sion,19 700,"1,195",
15,HIPERCENTRO,Centro-Sul,Lourdes,18 905,"1,258",
16,ZONA NORTE,Pampulha,Santa Amélia,18 188,"2,202",
17,ZONA OESTE,Oeste,Cabana do Pai Tomás,17 994,"0,504",
18,ZONA LESTE,Centro-Sul e Leste,Santa Efigênia (ZL),9 029,"1,094",
18,HIPERCENTRO,Centro-Sul e Leste,Santa Efigênia (HC),8 624,"1,045",
19,ZONA OESTE,Noroeste,Pindorama,17 579,"1,605",
20,ZONA LESTE,Leste,Boa Vista,17 574,"1,248",
21,ZONA SUL,Oeste,Gutierrez,17 507,"1,246",
22,ZONA NORTE,Pampulha,Ouro Preto,17 255,"2,363",
23,ZONA NORTE,Pampulha,Castelo,17 083,"2,409",
24,ZONA NORTE,Norte,Planalto,16 814,"2,5",
25,ZONA NORTE,Venda Nova,São João Batista,16 503,"1,847",
26,HIPERCENTRO,Centro-Sul,Centro,16 245,"1,952",
27,ZONA LESTE,Nordeste,Goiânia,16 229,"1,955",
28,ZONA NORTE,Norte e Venda Nova,Jaqueline,16 195,"2,94",
29,ZONA LESTE,Nordeste e Norte,Ribeiro de Abreu,16 020,"2,109",
30,ZONA NORTE,Pampulha,Santa Terezinha,15 792,"1,476",
31,ZONA LESTE,Leste,Santa Tereza,15 607,"1,551",
32,ZONA NORTE,Norte,Jardim Felicidade,15 486,"0,811",
33,ZONA LESTE,Nordeste,Cidade Nova,15 378,"0,913",
34,ZONA OESTE,Centro-Sul e Noroeste,Carlos Prates (ZO),11 008,"1,365",
34,HIPERCENTRO,Centro-Sul e Noroeste,Carlos Prates (HC),4 277,"0,531",
35,ZONA OESTE,Oeste,Havaí,6 356,"0,657",
36,ZONA OESTE,Oeste,Nova Suissa,15 218,"1,251",
37,ZONA LESTE,Leste,Conjunto Taquaril,14 977,"1,099",
38,ZONA LESTE,Nordeste,União,14 729,"1,401",
39,ZONA OESTE,Oeste,Salgado Filho,14 679,"1,448",
40,ZONA OESTE,Barreiro,Araguaia,14 635,"1,344",
41,ZONA OESTE,Noroeste,Glória,14 627,"1,654",
42,ZONA NORTE,Venda Nova,Serra Verde,14 005,"4,109",
43,ZONA LESTE,Leste,São Geraldo,13 974,"1,334",
44,ZONA OESTE,Oeste,Prado,13 800,"1,584",
45,ZONA LESTE,Nordeste e Norte,São Gabriel,13 726,"2,001",
46,ZONA LESTE,Norte,Tupi B,13 527,"1,302",
47,ZONA LESTE,Leste,Paraíso,13 414,"1,32",
48,ZONA NORTE,Pampulha e Venda Nova,Copacabana,13 333,"1,361",
49,ZONA NORTE,Noroeste,Caiçaras,13 150,"2,246",
50,ZONA OESTE,Oeste,Camargos,13 088,"1,85",
51,ZONA NORTE,Venda Nova,Rio Branco,12 768,"1,339",
52,ZONA SUL,Centro-Sul,Anchieta,12 740,"0,697",
53,ZONA LESTE,Nordeste,Ipiranga,12 194,"0,892",
54,ZONA OESTE,Barreiro,Milionários,12 175,"1,315",
55,ZONA OESTE,Oeste,Betânia,12 054,"1,311",
56,ZONA OESTE,Barreiro,Diamante,11 979,"1,844",
57,HIPERCENTRO,Centro-Sul e Leste,Floresta (HC),6 579,"0,609",
57,ZONA LESTE,Centro-Sul e Leste,Floresta (ZL),5 262,"0,487",
58,HIPERCENTRO,Centro-Sul,Savassi,11 772,"1,186",
59,ZONA NORTE,Norte,Jardim Guanabara,11 635,"1,154",
60,ZONA OESTE,Oeste,Vila Vista Alegre,11 413,"0,37",
61,ZONA OESTE,Barreiro,Tirol,11 372,"1,744",
62,ZONA OESTE,Oeste,Jardim América (ZO),8 615,"0,709",
62,ZONA SUL,Oeste,Jardim América (ZS),2 562,"0,211",
63,ZONA NORTE,Noroeste,Caiçara-Adelaide,10 794,"0,779",
64,ZONA LESTE,Nordeste,Concórdia,10 693,"0,915",
65,ZONA LESTE,Norte,Tupi A,10 668,"0,912",
66,ZONA NORTE,Venda Nova,Minascaixa,10 592,"0,975",
67,ZONA OESTE,Barreiro,Cardoso,10 582,"0,945",
68,ZONA LESTE,Leste e Nordeste,Colégio Batista (ZL),5 314,"0,406",
68,HIPERCENTRO,Leste e Nordeste,Colégio Batista (HC),4 853,"0,371",
69,ZONA OESTE,Barreiro,Barreiro,10 114,"1,583",
70,ZONA NORTE,Venda Nova,Europa,10 065,"0,923",
71,ZONA OESTE,Pampulha,Serrano,9 971,"1,082",
72,ZONA OESTE,Pampulha,Jardim Alvorada (ZO),8 882,"0,815",
72,ZONA NORTE,Pampulha,Jardim Alvorada (ZN),1 032,"0,095",
73,HIPERCENTRO,Centro-Sul,Santo Agostinho,9 881,"0,83",
74,ZONA NORTE,Noroeste,Aparecida,9 830,"0,914",
75,ZONA NORTE,Norte,Floramar,9 775,"1,055",
76,ZONA OESTE,Noroeste,Dom Bosco,9 720,"1,119",
77,ZONA OESTE,Noroeste,João Pinheiro,9 640,"0,853",
78,ZONA SUL,Centro-Sul,Nossa Senhora de Fátima,9 640,"0,61",
79,ZONA LESTE,Nordeste,Jardim Vitória,9 534,"5,769",
80,ZONA OESTE,Pampulha,Alípio de Melo,9 530,"1,181",
81,ZONA OESTE,Oeste,Nova Gameleira,9 478,"1,169",
82,ZONA NORTE,Pampulha,Itapoã,9 476,"1,629",
83,ZONA NORTE,Venda Nova,Jardim Leblon,9 460,"0,718",
84,ZONA NORTE,Nordeste,Cachoeirinha,9 209,"1,296",
85,ZONA OESTE,Barreiro,Bairro das Indústrias I,9 182,"3,659",
86,ZONA LESTE,Leste,Santa Inês,9 172,"1,13",
87,ZONA NORTE,Venda Nova,Lagoa,9 127,"0,628",
88,ZONA NORTE,Norte,São Bernardo,9 092,"0,939",
89,ZONA LESTE,Nordeste,Renascença,8 882,"0,86",
90,ZONA NORTE,Pampulha,Dona Clara,8 844,"0,791",
91,HIPERCENTRO,Centro-Sul,Funcionários,8 838,"0,668",
92,ZONA SUL,Centro-Sul e Oeste,Belvedere,8 828,"2,921",
93,ZONA LESTE,Nordeste,Maria Goretti,8 501,"0,778",
94,ZONA LESTE,Leste,Nova Vista,8 409,"0,689",
95,ZONA OESTE,Barreiro,Independência,8 334,"0,803",
96,ZONA LESTE,Norte,Novo Aarão Reis,8 287,"0,523",
97,ZONA OESTE,Pampulha,Manacás,8 248,"0,696",
98,ZONA OESTE,Barreiro,Vila Pinho,8 225,"0,358",
99,ZONA LESTE,Leste,Esplanada,8 219,"0,824",
100,ZONA LESTE,Nordeste,Nazaré,8 182,"0,782",
101,ZONA SUL,Centro-Sul,Cruzeiro,8 144,"0,531",
102,ZONA OESTE,Barreiro,Vale do Jatobá,8 047,"0,643",
103,ZONA SUL,Centro-Sul,Vila Barragem Santa Lúcia,7 999,"0,272",
104,ZONA LESTE,Norte,Providência,7 970,"0,675",
105,ZONA OESTE,Barreiro,Flávio Marques Lisboa,7 861,"1,098",
106,ZONA OESTE,Noroeste,Novo Glória,7 856,"0,708",
107,ZONA LESTE,Norte,Guarani,7 718,"0,76",
108,ZONA NORTE,Venda Nova,Letícia,7 715,"0,775",
109,ZONA NORTE,Venda Nova,Maria Helena,7 683,"0,734",
110,ZONA OESTE,Noroeste,Coqueiros,7 668,"0,677",
111,ZONA OESTE,Noroeste,Coração Eucarístico,7 654,"1,027",
112,ZONA SUL,Oeste,Palmeiras (ZS),6 425,"1,215",
112,ZONA OESTE,Oeste,Palmeiras (ZO),1 228,"0,232",
113,ZONA OESTE,Barreiro,Itaipu,7 591,"0,68",
114,ZONA NORTE,Venda Nova,Candelária,7 495,"1,019",
115,ZONA OESTE,Oeste,Calafate,7 475,"1,044",
116,ZONA NORTE,Norte,São Tomáz,7 415,"0,404",
117,ZONA NORTE,Noroeste,Alto Caiçaras,7 411,"1,064",
118,ZONA NORTE,Noroeste,Santo André,7 411,"0,608",
119,ZONA SUL,Centro-Sul e Oeste,Santa Lúcia,7 225,"2,11",
120,ZONA NORTE,Norte e Venda Nova,Vila Clóris,7 157,"0,875",
121,ZONA OESTE,Oeste,Santa Maria,7 075,"0,733",
122,ZONA OESTE,Oeste,Ventosa,7 055,"0,215",
123,ZONA OESTE,Barreiro,Brasil Industrial,7 030,"0,625",
124,ZONA OESTE,Pampulha,Jardim São José,6 964,"0,635",
125,ZONA LESTE,Nordeste,São Marcos,6 925,"0,584",
126,ZONA NORTE,Pampulha,Santa Rosa,6 723,"0,688",
127,ZONA NORTE,Norte,Heliópolis,6 675,"0,659",
128,ZONA NORTE,Venda Nova,Apolônia,6 568,"0,227",
129,ZONA SUL,Centro-Sul,Marçola,6 556,"0,246",
130,ZONA LESTE,Norte,Minaslândia,6 490,"0,792",
131,ZONA SUL,Barreiro,Bonsucesso (ZS),5 053,"2,617",
131,ZONA OESTE,Barreiro,Bonsucesso (ZO),1 371,"0,71",
132,ZONA NORTE,Pampulha,Paquetá,6 420,"1,455",
133,ZONA SUL,Centro-Sul,Luxemburgo,6 412,"0,622",
134,ZONA LESTE,Leste,Casa Branca,6 351,"0,67",
135,ZONA SUL,Centro-Sul,São Pedro,6 328,"0,583",
136,ZONA SUL,Oeste,Grajaú,6 279,"0,426",
137,ZONA SUL,Centro-Sul,Nossa Senhora da Conceição,6 225,"0,199",
138,ZONA LESTE,Nordeste,Paulo VI,6 205,"1,283",
139,HIPERCENTRO,Centro-Sul,Barro Preto,6 183,"1,094",
140,ZONA OESTE,Barreiro,Teixeira Dias,6 179,"0,733",
141,ZONA OESTE,Barreiro,Miramar,6 124,"0,639",
142,ZONA SUL,Centro-Sul,Santa Rita de Cássia,6 082,"0,155",
143,ZONA OESTE,Noroeste,Califórnia,6 080,"3,413",
144,ZONA SUL,Oeste,Nova Granada (ZS),5 516,"0,578",
144,ZONA OESTE,Oeste,Nova Granada (ZO),463,"0,048",
145,ZONA NORTE,Venda Nova,Lagoinha Leblon,5 973,"0,519",
146,ZONA LESTE,Leste,Horto Florestal,5 971,"1,983",
147,ZONA OESTE,Noroeste,Jardim Montanhês,5 957,"0,597",
148,ZONA NORTE,Norte,Juliana,5 892,"0,928",
149,ZONA OESTE,Noroeste,São Salvador,5 839,"0,591",
150,ZONA SUL,Centro-Sul,Coração de Jesus,5 812,"0,284",
151,ZONA LESTE,Nordeste,Silveira,5 800,"0,344",
152,ZONA OESTE,Barreiro,Olaria,5 776,"0,632",
153,ZONA LESTE,Leste,Pompéia,5 686,"0,586",
154,ZONA SUL,Barreiro,Vila Cemig,5 668,"0,26",
155,ZONA OESTE,Oeste,Nova Cintra,5 664,"0,733",
156,ZONA OESTE,Barreiro,Castanheira,5 650,"0,397",
157,ZONA LESTE,Nordeste,Palmares (ZL),4 364,"0,551",
157,ZONA NORTE,Nordeste,Palmares (ZN),1 157,"0,146",
158,ZONA OESTE,Oeste,Cinquentenário,5 460,"0,694",
159,ZONA NORTE,Pampulha,Bandeirantes,5 428,"4,776",
160,ZONA OESTE,Barreiro,Santa Helena,5 356,"0,591",
161,ZONA NORTE,Pampulha,Santa Branca,5 355,"0,867",
162,ZONA LESTE,Nordeste,Vila Maria,5 308,"0,132",
163,ZONA OESTE,Oeste,Alto Barroca,5 213,"0,315",
164,ZONA OESTE,Oeste,Vista Alegre,5 160,"0,459",
165,ZONA LESTE,Nordeste,Vista do Sol,5 121,"0,31",
166,ZONA NORTE,Noroeste,Aparecida Sétima Seção,4 917,"0,476",
167,ZONA LESTE,Leste,Saudade,4 893,"0,595",
168,ZONA LESTE,Norte,Lajedo,4 862,"0,508",
169,ZONA LESTE,Nordeste,Graça,4 792,"0,425",
170,ZONA NORTE,Pampulha,São Luíz,4 762,"2,766",
171,ZONA OESTE,Oeste,Estrela do Oriente,4 761,"1,012",
172,ZONA NORTE,Noroeste,Nova Cachoeirinha,4 735,"0,55",
173,ZONA LESTE,Nordeste,Ipê,4 687,"0,488",
174,ZONA NORTE,Pampulha,Urca,4 685,"0,289",
175,ZONA OESTE,Barreiro,Bairro Novo das Indústrias,4 614,"0,754",
176,HIPERCENTRO,Centro-Sul,Boa Viagem,4 564,"0,235",
177,ZONA SUL,Oeste,Estoril,4 539,"1,697",
178,ZONA LESTE,Nordeste,Nova Floresta,4 496,"0,427",
179,ZONA OESTE,Noroeste,Monsenhor Messias,4 489,"0,349",
180,ZONA NORTE,Pampulha,Liberdade,4 477,"0,448",
181,ZONA OESTE,Oeste,Madre Gertrudes,4 475,"0,545",
182,ZONA NORTE,Noroeste,Pedreira Prado Lopes,4 453,"0,155",
183,ZONA NORTE,Noroeste,Bonfim (ZN),2 978,"0,589",
183,HIPERCENTRO,Noroeste,Bonfim (HC),1 470,"0,291",
184,ZONA NORTE,Noroeste,Nova Esperança,4 426,"0,444",
185,ZONA NORTE,Venda Nova,Conjunto Minascaixa,4 421,"0,214",
186,ZONA NORTE,Pampulha,São Francisco,4 389,"1,429",
187,ZONA OESTE,Barreiro,Solar do Barreiro,4 385,"0,731",
188,ZONA SUL,Centro-Sul,Nossa Senhora da Aparecida,4 341,"0,138",
189,ZONA NORTE,Pampulha,Trevo,4 311,"1,916",
190,ZONA NORTE,Pampulha,Confisco,4 283,"0,276",
191,ZONA OESTE,Noroeste,Dom Cabral,4 280,"0,538",
192,ZONA OESTE,Barreiro,Mineirão,4 235,"0,394",
193,ZONA LESTE,Nordeste,Dom Silvério,4 195,"0,508",
194,ZONA LESTE,Nordeste,Fernão Dias,4 190,"0,505",
195,ZONA LESTE,Nordeste,Ouro Minas,4 143,"0,533",
196,ZONA LESTE,Nordeste,Beira-Linha,4 132,"0,231",
197,ZONA SUL,Centro-Sul,Santana do Cafezal,4 078,"0,168",
198,ZONA NORTE,Pampulha,Jaraguá,4 059,"0,505",
199,ZONA LESTE,Norte,Vila Primeiro de Maio,4 025,"0,164",
200,ZONA LESTE,Nordeste,Eymard,3 947,"0,594",
201,ZONA SUL,Centro-Sul e Leste,Novo São Lucas,3 926,"0,28",
202,ZONA NORTE,Nordeste e Noroeste,Lagoinha (ZN),2 290,"0,329",
202,HIPERCENTRO,Nordeste e Noroeste,Lagoinha (HC),1 583,"0,228",
203,ZONA LESTE,Leste,Vera Cruz,3 862,"0,448",
204,ZONA LESTE,Nordeste,Maria Virgínia (ZL),2 940,"0,441",
204,ZONA NORTE,Nordeste,Maria Virgínia (ZN),897,"0,134",
205,ZONA SUL,Centro-Sul,Carmo,3 816,"0,314",
206,ZONA OESTE,Noroeste e Oeste,Oeste,3 796,"0,794",
207,ZONA LESTE,Nordeste,São Paulo,3 750,"0,504",
208,ZONA OESTE,Barreiro,Conjunto Jatobá,3 720,"0,141",
209,ZONA SUL,Centro-Sul,Fazendinha,3 715,"0,221",
210,ZONA SUL,Centro-Sul,São Bento,3 688,"0,979",
211,ZONA SUL,Centro-Sul,Vila Novo São Lucas,3 677,"0,155",
212,ZONA SUL,Oeste,Leonina,3 670,"0,167",
213,ZONA NORTE,Noroeste,Bom Jesus,3 615,"0,275",
214,ZONA LESTE,Leste,Granja de Freitas,3 602,"0,823",
215,ZONA SUL,Centro-Sul,Vila Paris,3 560,"0,299",
216,ZONA LESTE,Leste,Mariano de Abreu,3 541,"0,171",
217,ZONA OESTE,Noroeste,Minas Brasil,3 511,"0,326",
218,ZONA LESTE,Norte,Monte Azul,3 494,"0,588",
219,ZONA OESTE,Barreiro,Mangueiras,3 467,"0,375",
220,ZONA OESTE,Noroeste e Pampulha,Inconfidência,3 465,"0,345",
221,ZONA NORTE,Noroeste,Ermelinda,3 455,"0,384",
222,ZONA OESTE,Barreiro,Jatobá,3 447,"0,332",
223,ZONA LESTE,Nordeste,Vitória,3 435,"0,408",
224,ZONA LESTE,Leste,Horto,3 429,"0,384",
225,ZONA LESTE,Leste,Taquaril,3 389,"0,421",
226,ZONA OESTE,Noroeste,Conjunto Califórnia I,3 347,"0,305",
227,ZONA NORTE,Pampulha,Indaiá,3 317,"0,435",
228,ZONA SUL,Oeste,Barroca,3 311,"0,24",
229,ZONA LESTE,Nordeste,Dom Joaquim,3 279,"0,58",
230,ZONA LESTE,Nordeste,Pirajá,3 231,"0,252",
231,ZONA LESTE,Nordeste,Conjunto Paulo VI,3 228,"0,216",
232,ZONA OESTE,Noroeste,Alto dos Pinheiros,3 191,"0,421",
233,ZONA SUL,Oeste,Parque São José,3 184,"0,339",
234,ZONA OESTE,Noroeste,Vila Califórnia,3 100,"0,103",
235,ZONA LESTE,Norte,Novo Tupi,3 048,"0,316",
236,ZONA OESTE,Barreiro,Vila Independência I,3 023,"0,145",
